Temps,EA0,Temps,EA1
0.0115,-2.24558764323592,0.0115,-0.709313087165356
0.011625,-2.25059899501503,0.011625,-0.714283751323819
0.01175,-2.24057629145682,0.01175,-0.709313087165356
0.011875,-2.23556493967772,0.011875,-0.704342423006892
0.012,-2.23055358789861,0.012,-0.699371758848429
0.012125,-2.22053088434041,0.012125,-0.689430430531502
0.01225,-2.22554223611951,0.01225,-0.699371758848429
0.012375,-2.2105081807822,0.012375,-0.684459766373038
0.0125,-2.2155195325613,0.0125,-0.689430430531502
0.012625,-2.2054968290031,0.012625,-0.679489102214575
0.01275,-2.20048547722399,0.01275,-0.674518438056111
0.012875,-2.19547412544489,0.012875,-0.669547773897648
0.013,-2.19046277366579,0.013,-0.669547773897648
0.013125,-2.18545142188668,0.013125,-0.664577109739184
0.01325,-2.17542871832848,0.01325,-0.654635781422257
0.013375,-2.18044007010758,0.013375,-0.659606445580721
0.0135,-2.17542871832848,0.0135,-0.654635781422257
0.013625,-2.16039466299117,0.013625,-0.64469445310533
0.01375,-2.16039466299117,0.01375,-0.64469445310533
0.013875,-2.14536060765386,0.013875,-0.634753124788404
0.014,-2.14536060765386,0.014,-0.634753124788404
0.014125,-2.14034925587475,0.014125,-0.634753124788404
0.01425,-2.14536060765386,0.01425,-0.634753124788404
0.014375,-2.13533790409565,0.014375,-0.624811796471477
0.0145,-2.12531520053744,0.0145,-0.619841132313013
0.014625,-2.12531520053744,0.014625,-0.619841132313013
0.01475,-2.11529249697924,0.01475,-0.609899803996086
0.014875,-2.11028114520013,0.014875,-0.609899803996086
0.015,-2.11028114520013,0.015,-0.604929139837623
0.015125,-2.10526979342103,0.015125,-0.599958475679159
0.01525,-2.09524708986282,0.01525,-0.594987811520696
0.015375,-2.10025844164193,0.015375,-0.599958475679159
0.0155,-2.09023573808372,0.0155,-0.590017147362232
0.015625,-2.08522438630462,0.015625,-0.590017147362232
0.01575,-2.07520168274641,0.01575,-0.580075819045305
0.015875,-2.07520168274641,0.015875,-0.580075819045305
0.016,-2.0651789791882,0.016,-0.575105154886842
0.016125,-2.0651789791882,0.016125,-0.570134490728378
0.01625,-2.0601676274091,0.01625,-0.570134490728378
0.016375,-2.05515627563,0.016375,-0.565163826569915
0.0165,-2.04513357207179,0.0165,-0.560193162411451
0.016625,-2.04012222029269,0.016625,-0.555222498252988
0.01675,-2.03511086851358,0.01675,-0.555222498252988
0.016875,-2.03511086851358,0.016875,-0.550251834094524
0.017,-2.03009951673448,0.017,-0.545281169936061
0.017125,-2.02508816495538,0.017125,-0.545281169936061
0.01725,-2.01506546139717,0.01725,-0.535339841619134
0.017375,-2.01506546139717,0.017375,-0.535339841619134
0.0175,-2.00504275783896,0.0175,-0.53036917746067
0.017625,-2.01005410961807,0.017625,-0.53036917746067
0.01775,-2.00003140605986,0.01775,-0.520427849143744
0.017875,-1.99000870250165,0.017875,-0.51545718498528
0.018,-1.99000870250165,0.018,-0.51545718498528
0.018125,-1.98499735072255,0.018125,-0.510486520826817
0.01825,-1.98499735072255,0.01825,-0.51545718498528
0.018375,-1.96996329538524,0.018375,-0.505515856668353
0.0185,-1.97497464716434,0.0185,-0.505515856668353
0.018625,-1.96495194360614,0.018625,-0.50054519250989
0.01875,-1.95492924004793,0.01875,-0.495574528351426
0.018875,-1.95492924004793,0.018875,-0.490603864192963
0.019,-1.94991788826883,0.019,-0.490603864192963
0.019125,-1.94991788826883,0.019125,-0.490603864192963
0.01925,-1.93488383293152,0.01925,-0.475691871717572
0.019375,-1.92987248115242,0.019375,-0.470721207559109
0.0195,-1.92987248115242,0.0195,-0.470721207559109
0.019625,-1.92486112937331,0.019625,-0.470721207559109
0.01975,-1.91984977759421,0.01975,-0.465750543400645
0.019875,-1.909827074036,0.019875,-0.460779879242182
0.02,-1.909827074036,0.02,-0.455809215083718
0.020125,-1.8998043704778,0.020125,-0.450838550925255
0.02025,-1.8998043704778,0.02025,-0.455809215083718
0.020375,-1.88978166691959,0.020375,-0.440897222608328
0.0205,-1.88978166691959,0.0205,-0.445867886766791
0.020625,-1.88978166691959,0.020625,-0.440897222608328
0.02075,-1.87975896336138,0.02075,-0.435926558449864
0.020875,-1.86973625980318,0.020875,-0.430955894291401
0.021,-1.86973625980318,0.021,-0.430955894291401
0.021125,-1.86973625980318,0.021125,-0.425985230132937
0.02125,-1.85971355624497,0.02125,-0.421014565974474
0.021375,-1.85470220446587,0.021375,-0.41604390181601
0.0215,-1.84969085268676,0.0215,-0.41604390181601
0.021625,-1.84467950090766,0.021625,-0.411073237657547
0.02175,-1.83966814912856,0.02175,-0.411073237657547
0.021875,-1.82964544557035,0.021875,-0.406102573499084
0.022,-1.83465679734945,0.022,-0.406102573499084
0.022125,-1.82463409379125,0.022125,-0.40113190934062
0.02225,-1.81962274201214,0.02225,-0.391190581023693
0.022375,-1.81461139023304,0.022375,-0.391190581023693
0.0225,-1.79957733489573,0.0225,-0.381249252706766
0.022625,-1.80458868667483,0.022625,-0.38621991686523
0.02275,-1.79957733489573,0.02275,-0.381249252706766
0.022875,-1.79456598311663,0.022875,-0.381249252706766
0.023,-1.78955463133752,0.023,-0.376278588548303
0.023125,-1.78454327955842,0.023125,-0.371307924389839
0.02325,-1.77953192777932,0.02325,-0.366337260231376
0.023375,-1.76950922422111,0.023375,-0.361366596072912
0.0235,-1.76950922422111,0.0235,-0.361366596072912
0.023625,-1.76449787244201,0.023625,-0.361366596072912
0.02375,-1.7594865206629,0.02375,-0.351425267755985
0.023875,-1.7544751688838,0.023875,-0.351425267755985
0.024,-1.74445246532559,0.024,-0.346454603597522
0.024125,-1.73944111354649,0.024125,-0.341483939439058
0.02425,-1.73944111354649,0.02425,-0.341483939439058
0.024375,-1.72941840998828,0.024375,-0.336513275280595
0.0245,-1.72941840998828,0.0245,-0.336513275280595
0.024625,-1.72440705820918,0.024625,-0.331542611122131
0.02475,-1.72440705820918,0.02475,-0.331542611122131
0.024875,-1.71438435465097,0.024875,-0.326571946963668
0.025,-1.70937300287187,0.025,-0.316630618646741
0.025125,-1.70436165109277,0.025125,-0.316630618646741
0.02525,-1.68932759575546,0.02525,-0.306689290329814
0.025375,-1.69433894753456,0.025375,-0.311659954488277
0.0255,-1.69433894753456,0.0255,-0.311659954488277
0.025625,-1.67930489219725,0.025625,-0.30171862617135
0.02575,-1.67930489219725,0.02575,-0.30171862617135
0.025875,-1.66928218863904,0.025875,-0.296747962012887
0.026,-1.66427083685994,0.026,-0.291777297854424
0.026125,-1.65925948508084,0.026125,-0.291777297854424
0.02625,-1.66427083685994,0.02625,-0.291777297854424
0.026375,-1.65424813330173,0.026375,-0.291777297854424
0.0265,-1.64923678152263,0.0265,-0.281835969537497
0.026625,-1.64422542974353,0.026625,-0.276865305379033
0.02675,-1.63420272618532,0.02675,-0.276865305379033
0.026875,-1.63420272618532,0.026875,-0.27189464122057
0.027,-1.62418002262712,0.027,-0.266923977062106
0.027125,-1.62919137440622,0.027125,-0.27189464122057
0.02725,-1.61916867084801,0.02725,-0.261953312903643
0.027375,-1.61916867084801,0.027375,-0.266923977062106
0.0275,-1.60914596728981,0.0275,-0.256982648745179
0.027625,-1.6041346155107,0.027625,-0.256982648745179
0.02775,-1.5991232637316,0.02775,-0.252011984586716
0.027875,-1.58910056017339,0.027875,-0.247041320428252
0.028,-1.5991232637316,0.028,-0.252011984586716
0.028125,-1.58910056017339,0.028125,-0.247041320428252
